iata;type;name;coordinates;timezone;parent_name;City
BRT;city;Bathurst Island;-11.6035121:130.3496894;Australia/Perth;Australia;Bathurst Island
SXO;city;Sao Felix Do Araguaia;-11.6137286:-50.6715636;America/Cuiaba;Brazil;Sao Felix Do Araguaia
DNO;city;Dianopolis;-11.6280995:-46.8214259;America/Araguaina;Brazil;Dianopolis
GBL;city;Goulburn Island;-11.65:133.38;Australia/Darwin;Australia;Goulburn Island
FBM;city;Lubumbashi;-11.66263:27.479719;Africa/Lubumbashi;Democratic Republic of the Congo;Lubumbashi
RNL;city;Rennell;-11.6632521:160.2646431;Pacific/Guadalcanal;Solomon Islands;Rennell
SWM;city;Suia-Missu;-11.67:-51.43;Africa/Luanda;Brazil;Suia-Missu
MUD;city;Mueda;-11.67:39.56;Africa/Maputo;Mozambique;Mueda
PBQ;city;Pimenta Bueno;-11.6748235:-61.1909917;America/Sao_Paulo;Brazil;Pimenta Bueno
ALD;city;Alerta;-11.68:-69.33;America/Lima;Peru;Alerta
MQK;city;San Matias;-11.7:-66.65;America/La_Paz;Bolivia;San Matias
HAH;city;Moroni;-11.701232:43.252927;;Comoros;Moroni
GRP;city;Gurupi;-11.7248806:-49.0759617;America/Araguaina;Brazil;Gurupi
HAT;city;Heathlands;-11.74:142.58;Australia/Melbourne;Australia;Heathlands
LUO;city;Luena;-11.77:19.9;Africa/Luanda;Angola;Luena
JAU;city;Jauja;-11.775:-75.5;America/Lima;Peru;Jauja
OPS;city;Sinop;-11.8730439:-55.4981782;America/Cuiaba;Brazil;Sinop
SIC;city;Sinop;-11.8730439:-55.4981782;-2.0;Turkey;Sinop
CAV;city;Cazombo;-11.89:22.92;Africa/Luanda;Angola;Cazombo
SYC;city;Shiringayoc;-11.9:-69.17;America/Lima;Peru;Shiringayoc
ELC;city;Elcho Island;-11.9768288:135.6952715;Australia/Darwin;Australia;Elcho Island
SMG;city;Santa Maria;-11.98:-77.0;America/Lima;Peru;Santa Maria
LIM;city;Lima;-12.0433333:-77.0283333;America/Lima;Peru;Lima
MNG;city;Maningrida;-12.0484282:134.2294757;Australia/Darwin;Australia;Maningrida
LIX;city;Likoma Island;-12.0584005:34.7354031;Africa/Blantyre;Malawi;Likoma Island
BRB;city;Barreirinhas;-12.08:-45.01;America/Fortaleza;Brazil;Barreirinhas
BRA;city;Barreiras;-12.1477468:-44.9951082;America/Maceio;Brazil;Barreiras
MGT;city;Milingimbi;-12.1499233:134.9325867;Australia/Darwin;Australia;Milingimbi
AGW;city;Agnew;-12.15:142.15;Australia/Perth;Australia;Agnew
CCK;city;Cocos Islands;-12.19:96.83;Indian/Cocos;Cocos Islands;Cocos Islands
AJN;city;Anjouan;-12.2138145:44.4370606;Indian/Comoro;Comoros;Anjouan
FEC;city;Feira De Santana;-12.2554649:-38.9542874;America/Bahia;Brazil;Feira De Santana
GOV;city;Gove;-12.27:136.82;Africa/Libreville;Australia;Gove
OPI;city;Oenpelli;-12.3256471:133.0540593;Australia/Darwin;Australia;Oenpelli
RAM;city;Ramingining;-12.3287191:134.9427185;Australia/Darwin;Australia;Ramingining
IBO;city;Ibo;-12.33:40.6;Africa/Maputo;Mozambique;Ibo
NWA;city;Moheli;-12.3377376:43.7334089;Indian/Comoro;Comoros;Moheli
DIE;city;Antsiranana;-12.35:49.29;Indian/Antananarivo;Madagascar;Antsiranana
SVP;city;Kuito;-12.4:16.95;Africa/Luanda;Angola;Kuito
CQS;city;Costa Marques;-12.415525:-64.2215275;America/Porto_Velho;Brazil;Costa Marques
MET;city;Moreton;-12.44:142.64;Europe/London;Australia;Moreton
DRW;city;Darwin;-12.4628198:130.8417694;Australia/Darwin;Australia;Darwin
CBT;city;Catumbela;-12.48:13.49;Africa/Luanda;Angola;Catumbela
RTA;city;Rotuma Island;-12.48:177.07;Pacific/Fiji;Fiji;Rotuma Island
DLV;city;Delissaville;-12.50545:130.99571;Australia/Darwin;Australia;Delissaville
LEL;city;Lake Evella;-12.5130989:135.8030637;Australia/Darwin;Australia;Lake Evella
DWA;city;Dwangwa;-12.52:34.13;Africa/Blantyre;Malawi;Dwangwa
CGJ;city;Chingola;-12.54323:27.85766;Africa/Lusaka;Zambia;Chingola
LEC;city;Lencois;-12.5570843:-41.3920641;+0.0;Brazil;Lencois
ZKP;city;Kasompe;-12.571667:27.892221;-2.0;Zambia;Kasompe
BUG;city;Benguela;-12.57655:13.40555;Africa/Luanda;Angola;Benguela
CCQ;city;Cachoeira;-12.5891079:-38.969086;America/Maceio;Brazil;Cachoeira
PEM;city;Puerto Maldonado;-12.60342:-69.191887;America/Lima;Peru;Puerto Maldonado
WEI;city;Weipa;-12.6572519:141.8634274;Australia/Brisbane;Australia;Weipa
BVW;city;Batavia Downs;-12.66:142.67;Australia/Lindeman;Australia;Batavia Downs
JAB;city;Jabiru;-12.6727648:132.8326934;Australia/Darwin;Australia;Jabiru
BVH;city;Vilhena;-12.7340597:-60.1445857;America/Porto_Velho;Brazil;Vilhena
NOV;city;Huambo;-12.7666667:15.7333333;Africa/Luanda;Angola;Huambo
DZA;city;Dzaoudzi;-12.780556:45.227778;Indian/Comoro;Comoros;Dzaoudzi
IRG;city;Lockhart River;-12.7861:143.3419;Australia/Brisbane;Australia;Lockhart River
KIW;city;Kitwe;-12.80383:28.21314;Africa/Lusaka;Zambia;Kitwe
CDA;city;Cooinda;-12.9:132.53;Australia/Brisbane;Australia;Cooinda
AAI;city;Arraias;-12.9264218:-46.9351817;America/Araguaina;Brazil;Arraias
NLA;city;Ndola;-12.96827:28.633699;Africa/Lusaka;Zambia;Ndola
SSA;city;Salvador;-12.9703817:-38.512382;America/Bahia;Brazil;Salvador
